B_ID,B_Name,B__Round1_Strikes_Body Significant Strikes_Landed,B__Round1_Strikes_Clinch Significant Strikes_Landed,B__Round1_Strikes_Ground Significant Strikes_Landed,B__Round1_Strikes_Head Significant Strikes_Landed,B__Round1_Strikes_Legs Significant Strikes_Landed,B__Round1_Strikes_Significant Strikes_Landed,B__Round2_Strikes_Body Significant Strikes_Landed,B__Round2_Strikes_Clinch Significant Strikes_Landed,B__Round2_Strikes_Ground Significant Strikes_Landed,B__Round2_Strikes_Head Significant Strikes_Landed,B__Round2_Strikes_Legs Significant Strikes_Landed,B__Round2_Strikes_Significant Strikes_Landed,B__Round3_Strikes_Body Significant Strikes_Landed,B__Round3_Strikes_Clinch Significant Strikes_Landed,B__Round3_Strikes_Ground Significant Strikes_Landed,B__Round3_Strikes_Head Significant Strikes_Landed,B__Round3_Strikes_Legs Significant Strikes_Landed,B__Round3_Strikes_Significant Strikes_Landed,Date,Event_ID,Fight_ID,Last_round,Max_round,R_ID,R_Name,R__Round1_Strikes_Body Significant Strikes_Landed,R__Round1_Strikes_Clinch Significant Strikes_Landed,R__Round1_Strikes_Ground Significant Strikes_Landed,R__Round1_Strikes_Head Significant Strikes_Landed,R__Round1_Strikes_Legs Significant Strikes_Landed,R__Round1_Strikes_Significant Strikes_Landed,R__Round2_Strikes_Body Significant Strikes_Landed,R__Round2_Strikes_Clinch Significant Strikes_Landed,R__Round2_Strikes_Ground Significant Strikes_Landed,R__Round2_Strikes_Head Significant Strikes_Landed,R__Round2_Strikes_Legs Significant Strikes_Landed,R__Round2_Strikes_Significant Strikes_Landed,R__Round3_Strikes_Body Significant Strikes_Landed,R__Round3_Strikes_Clinch Significant Strikes_Landed,R__Round3_Strikes_Ground Significant Strikes_Landed,R__Round3_Strikes_Head Significant Strikes_Landed,R__Round3_Strikes_Legs Significant Strikes_Landed,R__Round3_Strikes_Significant Strikes_Landed,winby,winner
2839,Brett Johns,2,0,25,37,1,40,6,7,15,47,2,55,1,3,19,37,0,38,10/8/18,871,7342,3,3,2191,Pedro Munhoz,26,6,6,71,47,144,29,7,0,46,18,93,13,5,4,53,18,84,DEC,red
3017,Sheymon Moraes,3,0,0,2,3,8,1,0,0,0,1,2,3,0,1,5,0,8,10/8/18,871,7361,3,3,3096,Matt Sayles,,,,,,,,,,,,,,,,,,,DEC,blue
3089,Jose Torres,0,0,0,4,2,6,5,5,5,10,1,16,,,,,,,10/8/18,871,7366,1,3,2969,Alex Perez,5,11,1,21,15,41,3,0,10,11,1,15,2,1,1,4,4,10,KO/TKO,red
3086,Kevin Holland,,,,,,,,,,,,,,,,,,,10/8/18,871,7381,3,3,2087,Thiago Santos,47,17,75,110,52,209,12,16,41,58,21,91,13,20,4,16,7,36,DEC,red
2840,Tyson Pedro,8,11,12,26,13,47,3,7,0,7,1,11,3,0,1,3,6,12,6/23/18,872,7224,1,3,1499,Ovince Saint Preux,35,18,11,77,18,130,21,12,17,72,7,100,11,11,19,71,2,84,SUB,red
2099,Jessica Eye,13,14,2,99,24,136,9,10,7,45,18,72,7,12,3,60,25,92,6/23/18,872,7225,3,3,3022,Jessica-Rose Clark,4,3,4,29,8,41,11,5,15,26,4,41,13,7,4,42,19,74,DEC,blue
2258,Jake Matthews,9,8,54,93,22,124,11,12,44,87,7,105,9,4,37,58,2,69,7/2/18,872,7226,1,3,2310,Shinsho Anzai,13,24,0,42,6,61,3,6,2,14,1,18,6,14,0,18,2,26,SUB,blue
2296,Ulka Sasaki,18,7,1,34,16,68,4,2,5,17,5,26,4,0,6,8,1,13,6/23/18,872,7227,2,3,2823,Jenel Lausa,3,0,2,20,1,24,2,0,5,20,0,22,0,0,2,24,1,25,SUB,blue
2885,Naoki Inoue,0,6,2,3,7,10,2,0,11,32,3,37,0,1,7,12,3,15,6/23/18,872,7229,3,3,2846,Matt Schnell,7,11,0,27,12,46,0,1,0,4,5,9,0,1,0,10,3,13,DEC,red
3010,Yan Xiaonan,4,11,0,26,2,32,1,0,0,24,4,29,0,7,2,30,5,35,6/23/18,872,7230,3,3,2835,Viviane Pereira,3,6,2,22,3,28,6,3,6,24,3,33,9,3,0,42,6,57,DEC,blue
2964,Daichi Abe,7,10,8,43,7,57,1,0,0,13,19,33,3,1,6,22,11,36,6/23/18,872,7264,3,3,2206,Li Jingliang,8,8,28,89,46,143,19,8,14,103,30,152,11,3,16,81,21,113,DEC,red
3030,Song Yadong,1,0,1,6,1,8,,,,,,,,,,,,,6/23/18,872,7265,2,3,1858,Felipe Arantes,14,9,12,39,13,66,3,5,10,35,8,46,8,3,4,28,4,40,KO/TKO,blue
3068,Petr Yan,,,,,,,,,,,,,,,,,,,6/23/18,872,7269,1,3,2655,Teruto Ishihara,29,7,29,70,23,122,16,3,4,52,20,88,4,6,3,29,24,57,KO/TKO,blue
3069,Hector Aldana,,,,,,,,,,,,,,,,,,,6/23/18,872,7270,2,3,3024,Song Kenan,1,0,12,13,0,14,,,,,,,,,,,,,KO/TKO,red
3039,Melinda Fabian,5,6,0,14,1,20,3,7,0,7,0,10,4,4,0,13,2,19,6/23/18,872,7311,3,3,2889,Ji Yeon Kim,6,0,0,35,6,47,5,5,0,30,4,39,3,4,0,37,2,42,DEC,red
2947,Julian Marquez,4,17,11,32,0,36,2,10,8,29,0,31,,,,,,,7/7/18,873,7238,3,3,2755,Alessio Di Chirico,11,4,0,25,7,43,7,9,9,42,3,52,6,8,2,29,3,38,DEC,red
3040,Barb Honchak,2,0,0,25,5,32,1,0,0,27,5,33,0,0,0,3,3,6,7/9/18,873,7239,2,3,1430,Roxanne Modafferi,3,0,0,9,5,17,1,2,0,24,1,26,1,1,0,35,1,37,KO/TKO,red
3043,Rachael Ostovich,0,0,0,1,2,3,,,,,,,,,,,,,7/9/18,873,7240,3,3,3037,Montana De La Rosa,2,3,0,3,1,6,,,,,,,,,,,,,SUB,red
2985,Steven Peterson,17,16,0,36,9,62,15,9,12,21,1,37,6,8,0,46,4,56,7/9/18,873,7266,3,3,2461,Matt Bessette,9,2,0,22,7,38,5,1,0,3,1,9,6,0,0,17,0,23,DEC,blue
