B_ID,B_Name,B__Round1_Strikes_Body Significant Strikes_Landed,B__Round1_Strikes_Clinch Significant Strikes_Landed,B__Round1_Strikes_Ground Significant Strikes_Landed,B__Round1_Strikes_Head Significant Strikes_Landed,B__Round1_Strikes_Legs Significant Strikes_Landed,B__Round1_Strikes_Significant Strikes_Landed,B__Round2_Strikes_Body Significant Strikes_Landed,B__Round2_Strikes_Clinch Significant Strikes_Landed,B__Round2_Strikes_Ground Significant Strikes_Landed,B__Round2_Strikes_Head Significant Strikes_Landed,B__Round2_Strikes_Legs Significant Strikes_Landed,B__Round2_Strikes_Significant Strikes_Landed,B__Round3_Strikes_Body Significant Strikes_Landed,B__Round3_Strikes_Clinch Significant Strikes_Landed,B__Round3_Strikes_Ground Significant Strikes_Landed,B__Round3_Strikes_Head Significant Strikes_Landed,B__Round3_Strikes_Legs Significant Strikes_Landed,B__Round3_Strikes_Significant Strikes_Landed,Date,Event_ID,Fight_ID,Last_round,Max_round,R_ID,R_Name,R__Round1_Strikes_Body Significant Strikes_Landed,R__Round1_Strikes_Clinch Significant Strikes_Landed,R__Round1_Strikes_Ground Significant Strikes_Landed,R__Round1_Strikes_Head Significant Strikes_Landed,R__Round1_Strikes_Legs Significant Strikes_Landed,R__Round1_Strikes_Significant Strikes_Landed,R__Round2_Strikes_Body Significant Strikes_Landed,R__Round2_Strikes_Clinch Significant Strikes_Landed,R__Round2_Strikes_Ground Significant Strikes_Landed,R__Round2_Strikes_Head Significant Strikes_Landed,R__Round2_Strikes_Legs Significant Strikes_Landed,R__Round2_Strikes_Significant Strikes_Landed,R__Round3_Strikes_Body Significant Strikes_Landed,R__Round3_Strikes_Clinch Significant Strikes_Landed,R__Round3_Strikes_Ground Significant Strikes_Landed,R__Round3_Strikes_Head Significant Strikes_Landed,R__Round3_Strikes_Legs Significant Strikes_Landed,R__Round3_Strikes_Significant Strikes_Landed,winby,winner
808,Alistair Overeem,,,,,,,,,,,,,,,,,,,2/3/14,646,4580,3,3,377,Frank Mir,,,,,,,,,,,,,,,,,,,DEC,blue
1056,Danny Martinez,,,,,,,,,,,,,,,,,,,2/3/14,646,4605,3,3,1253,Chris Cariaso,,,,,,,,,,,,,,,,,,,DEC,red
2005,Tom Watson,,,,,,,,,,,,,,,,,,,2/3/14,646,4631,3,3,464,Nick Catone,,,,,,,,,,,,,,,,,,,DEC,red
2101,Alan Patrick,,,,,,,,,,,,,,,,,,,2/3/14,646,4642,3,3,1675,John Makdessi,,,,,,,,,,,,,,,,,,,DEC,blue
2157,Kevin Lee,,,,,,,,,,,,,,,,,,,2/3/14,646,4649,3,3,1983,Al Iaquinta,,,,,,,,,,,,,,,,,,,DEC,red
2158,Rashid Magomedov,,,,,,,,,,,,,,,,,,,11/5/16,646,4651,3,3,2159,Tony Martin,,,,,,,,,,,,,,,,,,,DEC,blue
2160,Gasan Umalatov,,,,,,,,,,,,,,,,,,,2/3/14,646,4652,3,3,2047,Neil Magny,,,,,,,,,,,,,,,,,,,DEC,red
2084,Ali Bagautinov,,,,,,,,,,,,,,,,,,,2/3/14,646,4658,3,3,1966,John Lineker,,,,,,,,,,,,,,,,,,,DEC,blue
2013,Abel Trujillo,,,,,,,,,,,,,,,,,,,2/3/14,646,4662,2,3,530,Jamie Varner,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2167,Andy Enz,,,,,,,,,,,,,,,,,,,2/3/14,646,4665,3,3,2061,Clint Hester,,,,,,,,,,,,,,,,,,,DEC,red
1883,Francis Carmont,,,,,,,,,,,,,,,,,,,2/16/14,647,4603,3,3,896,Jacare Souza,,,,,,,,,,,,,,,,,,,DEC,red
1982,Joe Proctor,,,,,,,,,,,,,,,,,,,2/16/14,647,4618,3,3,774,Cristiano Marcello,,,,,,,,,,,,,,,,,,,DEC,blue
2124,Nico Musoke,,,,,,,,,,,,,,,,,,,2/16/14,647,4619,3,3,2080,Viscardi Andrade,,,,,,,,,,,,,,,,,,,DEC,blue
1990,Andy Ogle,,,,,,,,,,,,,,,,,,,3/7/14,647,4626,3,3,1531,Charles Oliveira,,,,,,,,,,,,,,,,,,,SUB,red
2154,Zubaira Tukhugov,,,,,,,,,,,,,,,,,,,2/17/14,647,4636,3,3,2183,Douglas Silva de Andrade,,,,,,,,,,,,,,,,,,,DEC,blue
2096,Ivan Jorge,,,,,,,,,,,,,,,,,,,2/16/14,647,4641,3,3,1367,Rodrigo Damm,,,,,,,,,,,,,,,,,,,DEC,red
2095,Wilson Reis,,,,,,,,,,,,,,,,,,,2/16/14,647,4660,3,3,1706,Iuri Alcantara,,,,,,,,,,,,,,,,,,,DEC,red
1864,Maximo Blanco,,,,,,,,,,,,,,,,,,,2/16/14,647,4669,3,3,1858,Felipe Arantes,,,,,,,,,,,,,,,,,,,DEC,red
2171,Takenori Sato,,,,,,,,,,,,,,,,,,,3/7/14,647,4683,1,3,1820,Erick Silva,,,,,,,,,,,,,,,,,,,KO/TKO,red
2172,Albert Tumenov,,,,,,,,,,,,,,,,,,,2/16/14,647,4684,3,3,2051,Ildemar Alcantara,,,,,,,,,,,,,,,,,,,DEC,red
2153,Sean Soriano,,,,,,,,,,,,,,,,,,,1/7/14,648,4593,2,3,750,Tatsuya Kawajiri,,,,,,,,,,,,,,,,,,,SUB,red
2151,Luiz Dutra,,,,,,,,,,,,,,,,,,,1/7/14,648,4594,1,3,2131,Kiichi Kunimoto,,,,,,,,,,,,,,,,,,,KO/TKO,red
2132,Shunichi Shimizu,,,,,,,,,,,,,,,,,,,1/7/14,648,4595,3,3,2018,Kyung Ho Kang,,,,,,,,,,,,,,,,,,,SUB,red
1805,Quinn Mulhern,,,,,,,,,,,,,,,,,,,1/7/14,648,4596,3,3,941,Katsunori Kikuno,,,,,,,,,,,,,,,,,,,DEC,red
2143,Jon Delos Reyes,,,,,,,,,,,,,,,,,,,1/8/14,648,4620,1,3,2054,Dustin Kimura,,,,,,,,,,,,,,,,,,,SUB,red
2145,Tae Hyun Bang,,,,,,,,,,,,,,,,,,,8/29/16,648,4621,3,3,2144,Mairbek Taisumov,,,,,,,,,,,,,,,,,,,DEC,red
2146,Will Chope,,,,,,,,,,,,,,,,,,,1/7/14,648,4622,2,3,1936,Max Holloway,,,,,,,,,,,,,,,,,,,KO/TKO,red
2148,Dave Galera,,,,,,,,,,,,,,,,,,,1/5/14,648,4623,3,3,2147,Royston Wee,,,,,,,,,,,,,,,,,,,DEC,red
2164,Russell Doane,,,,,,,,,,,,,,,,,,,1/8/14,648,4663,2,3,2165,Leandro Issa,,,,,,,,,,,,,,,,,,,SUB,blue
2060,Ilir Latifi,,,,,,,,,,,,,,,,,,,6/3/14,649,4627,1,3,699,Cyrille Diabate,,,,,,,,,,,,,,,,,,,SUB,blue
2196,Neil Seery,,,,,,,,,,,,,,,,,,,7/8/17,649,4643,3,3,1170,Brad Pickett,,,,,,,,,,,,,,,,,,,DEC,red
2104,Omari Akhmedov,,,,,,,,,,,,,,,,,,,6/3/14,649,4644,1,3,2015,Gunnar Nelson,,,,,,,,,,,,,,,,,,,,red
2156,Danny Mitchell,,,,,,,,,,,,,,,,,,,3/10/14,649,4645,3,3,2100,Igor Araujo,,,,,,,,,,,,,,,,,,,DEC,red
2162,Claudio Silva,,,,,,,,,,,,,,,,,,,3/10/14,649,4653,3,3,2030,Bradley Scott,,,,,,,,,,,,,,,,,,,DEC,blue
2161,Mats Nilsson,,,,,,,,,,,,,,,,,,,3/10/14,649,4654,1,3,2064,Luke Barnatt,,,,,,,,,,,,,,,,,,,KO/TKO,red
1911,Louis Gaudinot,,,,,,,,,,,,,,,,,,,6/21/14,649,4685,1,3,2016,Phil Harris,,,,,,,,,,,,,,,,,,,SUB,no contest
326,Demian Maia,,,,,,,,,,,,,,,,,,,2/24/14,650,4634,3,3,1176,Rory MacDonald,,,,,,,,,,,,,,,,,,,DEC,red
1596,TJ Waldburger,,,,,,,,,,,,,,,,,,,2/24/14,650,4646,3,3,870,Mike Pyle,,,,,,,,,,,,,,,,,,,KO/TKO,red
2191,Pedro Munhoz,,,,,,,,,,,,,,,,,,,4/1/16,650,4656,3,3,1039,Raphael Assuncao,,,,,,,,,,,,,,,,,,,DEC,red
1944,Stephen Thompson,,,,,,,,,,,,,,,,,,,3/7/14,650,4657,1,3,2037,Robert Whittaker,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2099,Jessica Eye,,,,,,,,,,,,,,,,,,,2/24/14,650,4667,3,3,1839,Alexis Davis,,,,,,,,,,,,,,,,,,,DEC,red
2177,Aljamain Sterling,,,,,,,,,,,,,,,,,,,2/24/14,650,4668,3,3,2192,Cody Gibson,,,,,,,,,,,,,,,,,,,DEC,blue
1092,Erik Koch,,,,,,,,,,,,,,,,,,,2/24/14,650,4675,1,3,1136,Rafaello Oliveira,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2135,Joshua Sampo,,,,,,,,,,,,,,,,,,,4/4/16,650,4677,3,3,2152,Zach Makovsky,,,,,,,,,,,,,,,,,,,DEC,red
2185,Yosdenis Cedeno,,,,,,,,,,,,,,,,,,,2/24/14,650,4725,3,3,2184,Ernest Chavez,,,,,,,,,,,,,,,,,,,DEC,red
2093,Elias Silverio,,,,,,,,,,,,,,,,,,,1/16/14,651,4525,3,3,1824,Isaac Vallie-Flagg,,,,,,,,,,,,,,,,,,,DEC,blue
1978,Sam Sicilia,,,,,,,,,,,,,,,,,,,1/16/14,651,4599,2,3,522,Cole Miller,,,,,,,,,,,,,,,,,,,SUB,red
1861,Mike Easton,,,,,,,,,,,,,,,,,,,1/16/14,651,4600,3,3,1905,TJ Dillashaw,,,,,,,,,,,,,,,,,,,DEC,red
1546,Brad Tavares,,,,,,,,,,,,,,,,,,,1/16/14,651,4608,3,3,1783,Lorenz Larkin,,,,,,,,,,,,,,,,,,,DEC,blue
2090,Brian Houston,,,,,,,,,,,,,,,,,,,1/16/14,651,4612,3,3,1810,Trevor Smith,,,,,,,,,,,,,,,,,,,DEC,red
2168,Beneil Dariush,,,,,,,,,,,,,,,,,,,1/16/14,651,4613,1,3,1478,Charlie Brenneman,,,,,,,,,,,,,,,,,,,SUB,blue
1817,Justin Edwards,,,,,,,,,,,,,,,,,,,1/16/14,651,4614,3,3,1814,Ramsey Nijem,,,,,,,,,,,,,,,,,,,DEC,red
1806,Derek Brunson,,,,,,,,,,,,,,,,,,,1/16/14,651,4616,3,3,1866,Yoel Romero,,,,,,,,,,,,,,,,,,,KO/TKO,red
2102,Garett Whiteley,,,,,,,,,,,,,,,,,,,1/19/14,651,4617,3,3,1986,Vinc Pichel,,,,,,,,,,,,,,,,,,,DEC,red
1504,Dustin Ortiz,,,,,,,,,,,,,,,,,,,1/16/14,651,4629,3,3,2007,John Moraga,,,,,,,,,,,,,,,,,,,DEC,red
2166,Louis Smolka,,,,,,,,,,,,,,,,,,,1/16/14,651,4664,3,3,2142,Alptekin Ozkilic,,,,,,,,,,,,,,,,,,,DEC,blue
375,Gabriel Gonzaga,,,,,,,,,,,,,,,,,,,1/27/14,652,4581,3,3,1852,Stipe Miocic,,,,,,,,,,,,,,,,,,,DEC,red
1999,Hugo Viana,,,,,,,,,,,,,,,,,,,1/27/14,652,4584,3,3,2088,Junior Hernandez,,,,,,,,,,,,,,,,,,,DEC,blue
545,Jeremy Stephens,,,,,,,,,,,,,,,,,,,1/27/14,652,4604,3,3,1486,Darren Elkins,,,,,,,,,,,,,,,,,,,DEC,blue
2097,Jesse Ronson,,,,,,,,,,,,,,,,,,,2/16/14,647,4625,3,3,1997,Francisco Trinaldo,,,,,,,,,,,,,,,,,,,DEC,red
501,Melvin Guillard,,,,,,,,,,,,,,,,,,,3/10/14,649,4521,3,3,1711,Michael Johnson,,,,,,,,,,,,,,,,,,,DEC,red
1694,Patrick Cummins,,,,,,,,,,,,,,,,,,,2/24/14,650,4706,1,3,1409,Daniel Cormier,,,,,,,,,,,,,,,,,,,KO/TKO,red
2041,Yaotzin Meza,,,,,,,,,,,,,,,,,,,6/6/14,652,4609,3,3,2010,Chico Camus,,,,,,,,,,,,,,,,,,,DEC,no contest
2128,Rob Whiteford,,,,,,,,,,,,,,,,,,,3/17/14,653,4692,3,3,1932,Daniel Pineda,,,,,,,,,,,,,,,,,,,DEC,blue
1478,Charlie Brenneman,2,3,0,2,1,5,,,,,,,,,,,,,5/23/14,660,4774,2,3,1061,Danny Castillo,,,,,,,,,,,,,,,,,,,KO/TKO,red
2036,Norman Parke,,,,,,,,,,,,,,,,,,,3/24/14,662,4710,3,3,2078,Leonardo Santos,,,,,,,,,,,,,,,,,,,,draw
2224,Elias Theodorou,,,,,,,,,,,,,,,,,,,4/21/14,663,4812,2,3,2225,Sheldon Westcott,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2055,Ryan LaFlare,,,,,,,,,,,,,,,,,,,5/21/14,665,4753,3,3,646,John Howard,,,,,,,,,,,,,,,,,,,DEC,blue
1594,Rafael Natal,,,,,,,,,,,,,,,,,,,5/12/14,667,4739,3,3,419,Ed Herman,,,,,,,,,,,,,,,,,,,DEC,red
1184,Bryan Caraway,,,,,,,,,,,,,,,,,,,6/9/14,668,4806,2,3,1979,Erik Perez,,,,,,,,,,,,,,,,,,,SUB,blue
1755,Alex Caceres,4,1,0,8,4,16,6,0,0,6,0,12,6,1,2,17,2,25,7/8/14,673,4868,3,3,959,Urijah Faber,3,3,0,3,2,8,,,,,,,,,,,,,SUB,red
1810,Trevor Smith,5,4,6,9,8,22,4,4,0,7,4,15,3,1,0,12,8,23,7/21/14,675,4872,3,3,2058,Tor Troeng,,,,,,,,,,,,,,,,,,,DEC,blue
1401,Shayna Baszler,,,,,,,,,,,,,,,,,,,9/2/14,677,4856,2,3,2133,Bethe Correia,5,2,0,22,13,40,8,2,0,23,7,38,5,1,0,23,8,36,KO/TKO,red
915,Adriano Martins,,,,,,,,,,,,,,,,,,,1/27/14,652,4610,1,3,1076,Donald Cerrone,,,,,,,,,,,,,,,,,,,KO/TKO,red
1060,Yves Jabouin,,,,,,,,,,,,,,,,,,,1/27/14,652,4630,2,3,961,Eddie Wineland,,,,,,,,,,,,,,,,,,,KO/TKO,red
2076,Nikita Krylov,,,,,,,,,,,,,,,,,,,12/5/16,652,4632,1,3,2106,Walt Harris,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2028,Mike Rio,,,,,,,,,,,,,,,,,,,1/27/14,652,4640,2,3,1976,Daron Cruickshank,,,,,,,,,,,,,,,,,,,KO/TKO,red
2118,Sergio Pettis,,,,,,,,,,,,,,,,,,,1/27/14,652,4661,3,3,1755,Alex Caceres,,,,,,,,,,,,,,,,,,,SUB,red
2173,Mike Rhodes,,,,,,,,,,,,,,,,,,,1/27/14,652,4689,3,3,2174,George Sullivan,,,,,,,,,,,,,,,,,,,DEC,red
2204,Sean Strickland,,,,,,,,,,,,,,,,,,,6/3/14,653,4637,1,3,2067,Bubba McDaniel,,,,,,,,,,,,,,,,,,,SUB,blue
768,Hector Lombard,,,,,,,,,,,,,,,,,,,2/13/17,653,4639,3,3,1202,Jake Shields,,,,,,,,,,,,,,,,,,,DEC,blue
1974,Myles Jury,,,,,,,,,,,,,,,,,,,10/7/18,653,4647,3,3,461,Diego Sanchez,,,,,,,,,,,,,,,,,,,DEC,blue
2130,Alex Garcia,,,,,,,,,,,,,,,,,,,3/17/14,653,4648,3,3,2053,Sean Spencer,,,,,,,,,,,,,,,,,,,DEC,blue
1386,Tyron Woodley,,,,,,,,,,,,,,,,,,,3/17/14,653,4650,2,3,663,Carlos Condit,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2126,Justin Scoggins,,,,,,,,,,,,,,,,,,,4/2/14,653,4655,3,3,1143,Will Campuzano,,,,,,,,,,,,,,,,,,,DEC,blue
669,Rick Story,,,,,,,,,,,,,,,,,,,3/17/14,653,4674,3,3,2070,Kelvin Gastelum,,,,,,,,,,,,,,,,,,,DEC,red
1859,Jimy Hettes,,,,,,,,,,,,,,,,,,,3/17/14,653,4676,3,3,1907,Dennis Bermudez,,,,,,,,,,,,,,,,,,,KO/TKO,red
2079,Jessica Andrade,,,,,,,,,,,,,,,,,,,3/17/14,653,4678,3,3,2150,Raquel Pennington,,,,,,,,,,,,,,,,,,,DEC,blue
2175,Francisco Trevino,,,,,,,,,,,,,,,,,,,4/2/14,653,4690,3,3,2012,Renee Forte,,,,,,,,,,,,,,,,,,,DEC,blue
2076,Nikita Krylov,1,0,3,5,5,11,,,,,,,,,,,,,12/5/16,653,4728,1,3,1499,Ovince Saint Preux,,,,,,,,,,,,,,,,,,,SUB,red
1850,Shawn Jordan,,,,,,,,,,,,,,,,,,,3/7/14,655,4671,1,3,1163,Matt Mitrione,,,,,,,,,,,,,,,,,,,KO/TKO,red
476,Ivan Menjivar,,,,,,,,,,,,,,,,,,,3/3/14,655,4672,3,3,733,Hatsu Hioki,,,,,,,,,,,,,,,,,,,DEC,red
2169,Yui Chul Nam,,,,,,,,,,,,,,,,,,,3/3/14,655,4673,3,3,2044,Kazuki Tokudome,,,,,,,,,,,,,,,,,,,DEC,blue
1882,Vaughan Lee,,,,,,,,,,,,,,,,,,,3/3/14,655,4699,3,3,1243,Nam Phan,,,,,,,,,,,,,,,,,,,DEC,blue
2179,Lipeng Zhang,,,,,,,,,,,,,,,,,,,3/3/14,655,4701,3,3,2180,Sai Wang,,,,,,,,,,,,,,,,,,,DEC,blue
2188,An Ying Wang,,,,,,,,,,,,,,,,,,,3/3/14,655,4731,1,3,2187,Albert Cheng,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2190,Mark Eddiva,,,,,,,,,,,,,,,,,,,3/3/14,655,4732,3,3,2189,Jumabieke Tuerxun,,,,,,,,,,,,,,,,,,,DEC,blue
2119,Andre Fili,,,,,,,,,,,,,,,,,,,5/23/14,660,4695,3,3,1936,Max Holloway,7,14,0,30,0,37,7,27,3,28,2,37,,,,,,,SUB,red
1970,Tim Elliott,,,,,,,,,,,,,,,,,,,12/1/16,660,4704,1,3,911,Joseph Benavidez,,,,,,,,,,,,,,,,,,,SUB,red
2133,Bethe Correia,,,,,,,,,,,,,,,,,,,5/23/14,660,4705,3,3,2138,Jessamyn Duke,,,,,,,,,,,,,,,,,,,DEC,blue
435,Tim Boetsch,,,,,,,,,,,,,,,,,,,5/23/14,660,4717,1,3,1294,Luke Rockhold,7,3,1,4,1,12,,,,,,,,,,,,,SUB,red
516,Anthony Johnson,,,,,,,,,,,,,,,,,,,5/23/14,660,4719,3,3,1189,Phil Davis,,,,,,,,,,,,,,,,,,,DEC,blue
1481,Yancy Medeiros,,,,,,,,,,,,,,,,,,,5/23/14,660,4729,1,3,509,Jim Miller,,,,,,,,,,,,,,,,,,,SUB,red
1824,Isaac Vallie-Flagg,1,3,1,6,4,11,1,3,0,7,2,10,0,0,0,0,0,0,5/23/14,660,4740,3,3,721,Takanori Gomi,,,,,,,,,,,,,,,,,,,DEC,red
2219,Patrick Williams,,,,,,,,,,,,,,,,,,,5/23/14,660,4817,2,3,2220,Chris Beal,,,,,,,,,,,,,,,,,,,KO/TKO,red
1919,Khabib Nurmagomedov,,,,,,,,,,,,,,,,,,,4/21/14,661,4635,3,3,532,Rafael dos Anjos,,,,,,,,,,,,,,,,,,,DEC,blue
1618,Liz Carmouche,,,,,,,,,,,,,,,,,,,4/21/14,661,4688,3,3,1317,Miesha Tate,,,,,,,,,,,,,,,,,,,DEC,red
1657,Edson Barboza,,,,,,,,,,,,,,,,,,,4/21/14,661,4707,1,3,1076,Donald Cerrone,6,0,0,2,8,16,,,,,,,,,,,,,SUB,red
1866,Yoel Romero,4,1,0,4,3,11,6,3,0,3,3,12,15,2,23,20,2,37,4/21/14,661,4721,3,3,1546,Brad Tavares,6,0,0,5,4,15,5,0,0,5,6,16,0,1,0,9,5,14,DEC,blue
197,Pat Healy,,,,,,,,,,,,,,,,,,,4/21/14,661,4722,3,3,1272,Jorge Masvidal,,,,,,,,,,,,,,,,,,,DEC,red
2218,Luke Zachrich,,,,,,,,,,,,,,,,,,,4/21/14,661,4723,1,3,1926,Caio Magalhaes,,,,,,,,,,,,,,,,,,,KO/TKO,red
1547,Seth Baczynski,,,,,,,,,,,,,,,,,,,4/21/14,661,4724,3,3,511,Thiago Alves,,,,,,,,,,,,,,,,,,,DEC,red
2203,Hernani Perpetuo,,,,,,,,,,,,,,,,,,,4/21/14,661,4726,3,3,1867,Jordan Mein,,,,,,,,,,,,,,,,,,,DEC,red
2194,Jack May,,,,,,,,,,,,,,,,,,,4/21/14,661,4735,1,3,2082,Derrick Lewis,,,,,,,,,,,,,,,,,,,KO/TKO,red
2216,Alex White,,,,,,,,,,,,,,,,,,,4/21/14,661,4741,1,3,1930,Estevan Payan,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2217,Ray Borg,,,,,,,,,,,,,,,,,,,4/21/14,661,4801,3,3,1504,Dustin Ortiz,4,5,8,7,3,14,0,0,0,1,2,3,0,7,3,14,4,18,DEC,red
2214,Chas Skelly,,,,,,,,,,,,,,,,,,,4/21/14,661,4802,3,3,2213,Mirsad Bektic,,,,,,,,,,,,,,,,,,,DEC,red
2199,Hans Stringer,,,,,,,,,,,,,,,,,,,3/24/14,662,4702,3,3,2085,Francimar Barroso,,,,,,,,,,,,,,,,,,,DEC,blue
507,CB Dollaway,,,,,,,,,,,,,,,,,,,3/24/14,662,4709,1,3,1991,Cezar Ferreira,,,,,,,,,,,,,,,,,,,KO/TKO,blue
1742,Gian Villante,,,,,,,,,,,,,,,,,,,3/24/14,662,4711,3,3,1663,Fabio Maldonado,,,,,,,,,,,,,,,,,,,DEC,red
1916,Steven Siler,,,,,,,,,,,,,,,,,,,3/24/14,662,4712,1,3,1994,Rony Jason,,,,,,,,,,,,,,,,,,,KO/TKO,red
2144,Mairbek Taisumov,2,1,0,5,6,13,6,0,1,2,1,9,2,6,3,3,6,11,4/5/16,662,4713,3,3,2074,Michel Prazeres,,,,,,,,,,,,,,,,,,,DEC,red
2087,Thiago Santos,,,,,,,,,,,,,,,,,,,3/24/14,662,4714,1,3,1835,Ronny Markes,,,,,,,,,,,,,,,,,,,KO/TKO,blue
1034,Scott Jorgensen,,,,,,,,,,,,,,,,,,,3/24/14,662,4715,1,3,2011,Jussier Formiga,,,,,,,,,,,,,,,,,,,SUB,red
1655,Kenny Robertson,,,,,,,,,,,,,,,,,,,3/24/14,662,4716,1,3,2000,Thiago Perpetuo,,,,,,,,,,,,,,,,,,,SUB,blue
2193,Noad Lahat,,,,,,,,,,,,,,,,,,,3/24/14,662,4734,1,3,1993,Godofredo Pepey,,,,,,,,,,,,,,,,,,,KO/TKO,red
1549,Kyle Noke,,,,,,,,,,,,,,,,,,,4/21/14,663,4696,3,3,405,Patrick Cote,,,,,,,,,,,,,,,,,,,DEC,red
2178,Tim Gorman,,,,,,,,,,,,,,,,,,,4/21/14,663,4697,3,3,1935,Mitch Gagnon,,,,,,,,,,,,,,,,,,,DEC,red
1493,KJ Noons,,,,,,,,,,,,,,,,,,,4/21/14,663,4698,1,3,520,Sam Stout,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2230,Mike de la Torre,,,,,,,,,,,,,,,,,,,4/21/14,663,4708,3,3,452,Mark Bocek,,,,,,,,,,,,,,,,,,,DEC,red
2221,Leslie Smith,,,,,,,,,,,,,,,,,,,4/21/14,663,4733,3,3,1380,Sarah Kaufman,,,,,,,,,,,,,,,,,,,DEC,red
2205,Sean O'Connell,,,,,,,,,,,,,,,,,,,4/21/14,663,4737,1,3,1922,Ryan Jimmo,,,,,,,,,,,,,,,,,,,KO/TKO,red
2054,Dustin Kimura,0,0,0,1,0,1,,,,,,,,,,,,,4/21/14,663,4743,3,3,454,George Roop,,,,,,,,,,,,,,,,,,,DEC,red
1954,Akira Corassani,,,,,,,,,,,,,,,,,,,4/21/14,663,4765,2,3,1595,Dustin Poirier,,,,,,,,,,,,,,,,,,,KO/TKO,red
2223,Olivier Aubin-Mercier,,,,,,,,,,,,,,,,,,,7/24/18,663,4811,3,3,2222,Chad Laprise,,,,,,,,,,,,,,,,,,,DEC,red
2226,Vik Grujic,,,,,,,,,,,,,,,,,,,4/21/14,663,4813,3,3,2227,Nordine Taleb,,,,,,,,,,,,,,,,,,,DEC,red
2229,Chris Indich,,,,,,,,,,,,,,,,,,,4/21/14,663,4814,3,3,2228,Richard Walsh,,,,,,,,,,,,,,,,,,,DEC,red
965,Jake Ellenberger,,,,,,,,,,,,,,,,,,,5/24/14,664,4693,3,3,471,Robbie Lawler,0,1,0,13,0,13,0,0,0,21,0,21,1,1,0,39,3,43,KO/TKO,red
2010,Chico Camus,1,0,1,1,1,3,0,0,1,5,0,5,0,0,4,4,0,4,5/24/14,664,4747,3,3,2136,Chris Holdsworth,,,,,,,,,,,,,,,,,,,DEC,red
2237,Aaron Phillips,,,,,,,,,,,,,,,,,,,5/25/14,664,4748,3,3,1978,Sam Sicilia,1,0,0,4,3,8,4,0,0,1,1,6,,,,,,,DEC,red
1096,James Krause,,,,,,,,,,,,,,,,,,,6/3/14,664,4750,1,3,530,Jamie Varner,1,0,0,6,0,7,1,19,2,28,0,29,,,,,,,KO/TKO,blue
1689,Francisco Rivera,,,,,,,,,,,,,,,,,,,5/24/14,664,4761,3,3,1051,Takeya Mizugaki,,,,,,,,,,,,,,,,,,,DEC,red
1891,Mitch Clarke,,,,,,,,,,,,,,,,,,,6/3/14,664,4762,2,3,1983,Al Iaquinta,3,0,2,15,1,19,2,0,0,3,0,5,1,0,0,23,1,25,SUB,blue
1997,Francisco Trinaldo,5,4,0,11,6,22,5,3,0,4,4,13,5,1,9,8,7,20,5/24/14,664,4764,3,3,1985,Michael Chiesa,,,,,,,,,,,,,,,,,,,DEC,red
941,Katsunori Kikuno,2,1,0,3,2,7,1,1,1,7,0,8,2,1,2,6,0,8,5/24/14,664,4768,1,3,1815,Tony Ferguson,,,,,,,,,,,,,,,,,,,KO/TKO,red
1986,Vinc Pichel,0,5,1,2,10,12,1,2,9,13,2,16,6,8,7,5,5,16,5/25/14,664,4779,3,3,1080,Anthony Njokuani,,,,,,,,,,,,,,,,,,,DEC,blue
2206,Li Jingliang,,,,,,,,,,,,,,,,,,,7/8/16,664,4782,3,3,2236,David Michaud,,,,,,,,,,,,,,,,,,,DEC,blue
129,Dan Henderson,0,1,0,6,4,10,3,3,0,2,0,5,0,1,4,8,0,8,5/24/14,664,4825,3,3,1409,Daniel Cormier,2,5,9,16,0,18,,,,,,,,,,,,,SUB,red
750,Tatsuya Kawajiri,0,0,26,29,2,31,0,0,0,1,0,1,,,,,,,5/21/14,665,4751,3,3,459,Clay Guida,,,,,,,,,,,,,,,,,,,DEC,red
1810,Trevor Smith,4,4,6,8,7,19,4,4,0,7,4,15,3,1,0,12,8,23,5/21/14,665,4752,1,3,449,Thales Leites,,,,,,,,,,,,,,,,,,,KO/TKO,red
2168,Beneil Dariush,1,1,6,8,0,9,,,,,,,,,,,,,5/21/14,665,4755,1,3,1814,Ramsey Nijem,1,1,0,10,4,15,1,3,6,14,0,15,4,5,2,12,0,16,KO/TKO,red
2083,Daniel Omielanczuk,,,,,,,,,,,,,,,,,,,5/21/14,665,4756,3,3,2105,Jared Rosholt,,,,,,,,,,,,,,,,,,,DEC,red
1910,Johnny Bedford,,,,,,,,,,,,,,,,,,,5/21/14,665,4758,1,3,1044,Rani Yahya,,,,,,,,,,,,,,,,,,,,no contest
2202,Jim Alers,,,,,,,,,,,,,,,,,,,5/21/14,665,4759,3,3,2201,Alan Omer,,,,,,,,,,,,,,,,,,,DEC,blue
2160,Gasan Umalatov,1,0,0,2,3,6,4,2,0,5,1,10,9,1,2,5,4,18,6/2/14,666,4775,3,3,651,Paulo Thiago,,,,,,,,,,,,,,,,,,,DEC,blue
